vehicle_id,lat,lon,route_id,trip_id,date_time
DL1PC7155,28.659698486328125,77.18960571289062,10355,10355_15_05,2024-02-29 17:47:43+05:30
DL1PC8537,28.645160675048828,77.21251678466797,5851,5851_16_14,2024-02-29 17:47:43+05:30
DL1PC9822,28.609224319458008,77.09942626953125,5344,5344_17_24,2024-02-29 17:47:43+05:30
DL1PC9372,28.726884841918945,77.00418090820312,345,345_17_44,2024-02-29 17:47:43+05:30
DL51GD2203,28.643030166625977,77.22640228271484,5819,5819_15_23,2024-02-29 17:47:43+05:30
DL1PC8330,28.6044979095459,77.3319091796875,5623,5623_17_07,2024-02-29 17:47:43+05:30
DL51GD9092,28.65983772277832,77.1446533203125,5863,5863_16_00,2024-02-29 17:47:43+05:30
DL1PC3153,28.632570266723633,77.31565856933594,5473,5473_17_40,2024-02-29 17:47:43+05:30
DL1PC8020,28.655811309814453,77.18709564208984,5246,5246_16_47,2024-02-29 17:47:43+05:30
DL1PC3135,28.667041778564453,77.22017669677734,5352,5352_17_02,2024-02-29 17:47:43+05:30
DL1PC7178,28.565366744995117,77.31907653808594,5473,5473_17_20,2024-02-29 17:47:43+05:30
DL1PC8403,28.560762405395508,77.34542083740234,5473,5473_17_30,2024-02-29 17:47:43+05:30
DL1PC9404,28.578065872192383,77.19005584716797,5205,5205_16_05,2024-02-29 17:47:43+05:30
DL1PC9318,28.730972290039062,77.15898132324219,5517,5517_15_14,2024-02-29 17:47:43+05:30
DL1PC7964,28.655595779418945,77.15161895751953,5482,5482_17_11,2024-02-29 17:47:43+05:30
DL1PC3548,28.726547241210938,77.1826400756836,5047,5047_17_36,2024-02-29 17:47:43+05:30
DL1PC8909,28.698450088500977,77.30603790283203,10666,10666_15_39,2024-02-29 17:47:43+05:30
DL51GD4079,28.683664321899414,77.14620971679688,5854,5854_15_30,2024-02-29 17:47:43+05:30
DL1PC9390,28.430063247680664,77.22602844238281,5682,5682_16_00,2024-02-29 17:47:43+05:30
DL1PC9013,28.640907287597656,77.31629943847656,5885,5885_15_10,2024-02-29 17:47:43+05:30
DL51GD4293,28.669296264648438,77.22804260253906,5819,5819_16_58,2024-02-29 17:47:43+05:30
